method,path,route_file,callers,auth_type,db_read_models,db_write_models,side_effects,target_operation_id,legacy_status,growdesk_status,test_entry
GET,/api/ai/backends,app/api/ai/backends/route.ts,Unlinked/Direct/External,Cookie Session (getAuthUser),none,none,none,listAiBackends,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
POST,/api/ai/chat,app/api/ai/chat/route.ts,components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),aiChatSession,aiChatMessage;aiChatSession,LLM/AI Model Request;SSE Long-lived Stream,sendAiChatMessage,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/ai/ai-sessions.test.ts
GET,/api/ai/daily-summary,app/api/ai/daily-summary/route.ts,app/(main)/daily-summary/page.tsx; components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),none,none,none,listDailySummaries,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/ai-daily-summary.test.ts
POST,/api/ai/daily-summary,app/api/ai/daily-summary/route.ts,app/(main)/daily-summary/page.tsx; components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),none,none,none,createDailySummaryRun,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/ai-daily-summary.test.ts
GET,/api/ai/jobs/[id],app/api/ai/jobs/[id]/route.ts,app/health/medical/page.tsx; app/health/medical/add/page.tsx,Cookie Session (getAuthUser),aiJob,none,none,getAiJob,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
PATCH,/api/ai/jobs/[id],app/api/ai/jobs/[id]/route.ts,app/health/medical/page.tsx; app/health/medical/add/page.tsx,Cookie Session (getAuthUser),aiJob,aiJob,none,updateAiJob,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
GET,/api/ai/jobs,app/api/ai/jobs/route.ts,app/health/medical/page.tsx; app/health/medical/add/page.tsx,Cookie Session (getAuthUser),aiJob,none,none,listAiJobs,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
POST,/api/ai/parse-nutrition,app/api/ai/parse-nutrition/route.ts,components/nutrition/ProductCatalogModal.tsx,Cookie Session (getAuthUser),none,none,Local Disk File Write (public/uploads),createAiParseNutritionRun,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
POST,/api/ai/parse-record,app/api/ai/parse-record/route.ts,components/ui/VoiceConfirmEntry.tsx,Cookie Session (getAuthUser),none,none,none,createAiParseRecordRun,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
GET,/api/ai/search,app/api/ai/search/route.ts,scripts/mcp-server.mjs,Cookie Session (getAuthUser),none,none,none,executeAiSearch,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
POST,/api/ai/search,app/api/ai/search/route.ts,scripts/mcp-server.mjs,Cookie Session (getAuthUser),none,none,none,executeAiSearch,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
DELETE,/api/ai/sessions/[id],app/api/ai/sessions/[id]/route.ts,components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),aiChatSession,aiChatSession,none,deleteAiSession,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/ai/ai-sessions.test.ts
GET,/api/ai/sessions/[id],app/api/ai/sessions/[id]/route.ts,components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),aiChatSession,none,none,getAiSession,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/ai/ai-sessions.test.ts
PATCH,/api/ai/sessions/[id],app/api/ai/sessions/[id]/route.ts,components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),aiChatSession,aiChatSession,none,updateAiSession,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/ai/ai-sessions.test.ts
GET,/api/ai/sessions,app/api/ai/sessions/route.ts,components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),aiChatSession;baby,none,none,listAiSessions,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/ai/ai-sessions.test.ts
POST,/api/ai/sessions,app/api/ai/sessions/route.ts,components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),aiChatSession;baby,aiChatSession,none,createAiSession,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/ai/ai-sessions.test.ts
GET,/api/ai/tips,app/api/ai/tips/route.ts,Unlinked/Direct/External,Cookie Session (getAuthUser),none,none,none,getAiTips,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
GET,/api/app-config,app/api/app-config/route.ts,components/ServiceWorkerRegistrar.tsx,Public / Anonymous,none,none,none,getAppConfig,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/family-config.test.ts
POST,/api/asr/transcribe,app/api/asr/transcribe/route.ts,components/ui/VoiceConfirmEntry.tsx; components/ui/QuickAiModal.tsx,Cookie Session (getAuthUser),none,none,Local Disk File Write (public/uploads);Local Whisper/ASR CLI Execution,executeAsrTranscribe,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
POST,/api/auth/login,app/api/auth/login/route.ts,Unlinked/Direct/External,Public / Anonymous,user,none,none,login,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/auth.test.ts
POST,/api/auth/logout,app/api/auth/logout/route.ts,Unlinked/Direct/External,Cookie Session (getAuthUser),none,none,none,logout,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/auth.test.ts
GET,/api/auth/me,app/api/auth/me/route.ts,Unlinked/Direct/External,Cookie Session (getAuthUser),none,none,none,getCurrentUser,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/auth.test.ts
POST,/api/auth/register,app/api/auth/register/route.ts,Unlinked/Direct/External,Public / Anonymous,family;user,none,none,register,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/auth.test.ts
POST,/api/baby/avatar,app/api/baby/avatar/route.ts,app/onboarding/page.tsx,Cookie Session (getAuthUser),none,baby,Local Disk File Write (public/uploads),uploadBabyAvatar,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
GET,/api/baby,app/api/baby/route.ts,app/onboarding/page.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),none,none,none,listBabies,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
POST,/api/baby,app/api/baby/route.ts,app/onboarding/page.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),none,baby,none,createBaby,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
PUT,/api/baby,app/api/baby/route.ts,app/onboarding/page.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),none,baby,none,updateBaby,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
PATCH,/api/books/[id],app/api/books/[id]/route.ts,app/(main)/books/page.tsx,Cookie Session (getAuthUser),book;familyBookStatus,familyBookStatus,none,updateBookStatus,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
GET,/api/books,app/api/books/route.ts,app/(main)/books/page.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),book;familyBookStatus,none,none,listBooks,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/family-config.test.ts
GET,/api/development/activities,app/api/development/activities/route.ts,app/(main)/development/page.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),activityRecommendation,none,none,listActivities,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/development.test.ts
GET,/api/development/milestones,app/api/development/milestones/route.ts,app/(main)/development/page.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),dataRelease;developmentMilestone,none,none,listMilestones,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/development.test.ts
GET,/api/development/warning-signs,app/api/development/warning-signs/route.ts,app/(main)/development/page.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),developmentWarningSign,none,none,listWarningSigns,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/development.test.ts
POST,/api/family/join,app/api/family/join/route.ts,Unlinked/Direct/External,Cookie Session (getAuthUser),family;familyMember,familyMember,none,joinFamily,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
GET,/api/family/members,app/api/family/members/route.ts,Unlinked/Direct/External,Cookie Session (getAuthUser),familyMember,none,none,listFamilyMembers,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/family-config.test.ts
GET,/api/family/preview,app/api/family/preview/route.ts,app/register/page.tsx,Public / Anonymous,family,none,none,previewFamilyInvite,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/unit/family-guide-onboarding.test.ts
GET,/api/food/feeding-guidelines,app/api/food/feeding-guidelines/route.ts,app/(main)/food/library/page.tsx,Cookie Session (getAuthUser),feedingGuideline,none,none,getFeedingGuidelines,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
GET,/api/food/items,app/api/food/items/route.ts,app/(main)/food/library/page.tsx; components/records/FoodLogForm.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),familyFoodStatus;familyMember;foodItem,none,none,listFoodItems,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
POST,/api/food/items,app/api/food/items/route.ts,app/(main)/food/library/page.tsx; components/records/FoodLogForm.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),familyFoodStatus;familyMember;foodItem,familyFoodStatus;foodItem,none,createFoodItem,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
DELETE,/api/food/logs,app/api/food/logs/route.ts,scripts/mcp-server.mjs,Cookie Session (getAuthUser),foodLogRecord,recordSnapshot,none,deleteFoodRecord,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
GET,/api/food/logs,app/api/food/logs/route.ts,scripts/mcp-server.mjs,Cookie Session (getAuthUser),foodLogRecord,none,none,listFoodRecords,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
POST,/api/food/logs,app/api/food/logs/route.ts,scripts/mcp-server.mjs,Cookie Session (getAuthUser),foodLogRecord,recordSnapshot,none,createFoodRecord,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
PUT,/api/food/logs,app/api/food/logs/route.ts,scripts/mcp-server.mjs,Cookie Session (getAuthUser),foodLogRecord,recordSnapshot,none,updateFoodRecord,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
GET,/api/food/plans,app/api/food/plans/route.ts,components/ui/AiActionCard.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),foodPlan,none,none,listFoodPlans,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
POST,/api/food/plans,app/api/food/plans/route.ts,components/ui/AiActionCard.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),foodPlan,foodPlan,none,createFoodPlan,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts; tests/api/food.test.ts
GET,/api/growth/chart,app/api/growth/chart/route.ts,app/(main)/growth/page.tsx,Cookie Session (getAuthUser),growthMeasurement,none,none,getGrowthChart,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
POST,/api/growth/ocr,app/api/growth/ocr/route.ts,components/records/GrowthForm.tsx,Cookie Session (getAuthUser),none,none,Local Disk File Write (public/uploads),createGrowthOcrRun,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
DELETE,/api/growth,app/api/growth/route.ts,app/(main)/growth/page.tsx; components/records/GrowthForm.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),growthMeasurement,recordSnapshot,none,deleteGrowthMeasurement,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
GET,/api/growth,app/api/growth/route.ts,app/(main)/growth/page.tsx; components/records/GrowthForm.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),growthMeasurement,none,none,listGrowthMeasurements,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
POST,/api/growth,app/api/growth/route.ts,app/(main)/growth/page.tsx; components/records/GrowthForm.tsx; scripts/mcp-server.mjs,Cookie Session (getAuthUser),growthMeasurement,recordSnapshot,none,createGrowthMeasurement,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
DELETE,/api/mcp,app/api/mcp/route.ts,Unlinked/Direct/External,Cookie Session (getAuthUser),none,none,none,mcpDisconnect,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
GET,/api/mcp,app/api/mcp/route.ts,Unlinked/Direct/External,Cookie Session (getAuthUser),none,none,none,mcpSseConnect,ACTIVE_SQLITE,MISSING_IN_GROWDESK_API,tests/unit/functional-p1-remaining.test.ts; tests/unit/functional-p1-batch3.test.ts; tests/unit/pagination-and-validation.test.ts; tests/unit/functional-p1-batch2.test.ts; tests/unit/functional-p0.test.ts
